Representation 
 
-	Orang tua
Orang tua laki ( Desi, Hadi )
Orang tua laki ( Wahyu, Hadi)
Orang tua laki ( Rina, Hadi)
Orang tua laki ( Ardi, Hadi)
Orang tua Perempuan ( Desi, Retno )
Orang tua Perempuan ( Wahyu, Retno )
Orang tua Perempuan ( Rina, Retno )
Orang tua Perempuan ( Ardi, Retno )
Orang tua laki ( Tari, Bayu )
Orang tua laki ( Nurul, Bayu)
Orang tua laki ( Yanto, Bayu)
Orang tua Perempuan ( Tari, Desi )
Orang tua Perempuan ( Nurul, Desi)
Orang tua Perempuan ( Yanto, Desi)
Orang tua Perempuan ( Hamzah, Rina)
Orang tua laki ( Eka, Ardi )
Orang tua laki ( Mira, Ardi )
Orang tua laki ( Bastian, Ardi )
Orang tua Perempuan ( Eka, Ana)
Orang tua Perempuan ( Mira, Ana)
Orang tua Perempuan ( Bastian, Ana)
Orang tua laki ( Wanda, Ridho )
Orang tua Perempuan ( Wanda, Tari)
Orang tua Perempuan ( Aji, Nurul)
Orang tua Perempuan ( Gunawan, Nurul)
Orang tua Perempuan ( Anggun, Mira)
Orang tua Perempuan ( Boy, Mira)

-	Saudara laki laki dan perempuan
Saudara laki ( Desi, Wahyu)
Saudara laki ( Rina, Wahyu)
Saudara laki ( Ardi, Wahyu)
Saudara laki ( Desi, Ardi)
Saudara laki ( Rina, Ardi)
Saudara laki ( Wahyu, Ardi)
Saudara Perempuan ( Desi, Rina)
Saudara Perempuan ( Wahyu, Rina)
Saudara Perempuan ( Ardi, Rina )
Saudara laki ( Tari, Yanto )
Saudara laki ( Nurul, Yanto )
Saudara Perempuan ( Nurul, Tari )
Saudara Perempuan ( Yanto, Tari )
Saudara Perempuan ( Tari, Nurul )
Saudara Perempuan ( Yanto, Nurul )
Saudara Perempuan ( Eka, Mira )
Saudara Perempuan ( Bastian, Mira )
Saudara laki ( Eka, Bastian )
Saudara laki ( Mira, Bastian )
Saudara Perempuan ( Mira, Eka )
Saudara Perempuan ( Bastian, Eka )
Saudara laki ( Gunawan, Aji )
Saudara laki ( Aji, Gunawan )
Saudara laki ( Anggun, Boy )
Saudara Perempuan ( Boy, Anggun)
Saudara Perempuan ( Rina, Desi)
Saudara Perempuan ( Ardi, Desi)



-	Paman
Paman ( Tari, Wahyu)
Paman ( Tari, Ardi)
Paman ( Nurul, Wahyu)
Paman ( Nurul, Ardi)
Paman ( Yanto, Wahyu)
Paman ( Yanto, Ardi)
Paman ( Hamzah, Wahyu)
